"species","decimalLongitude","decimalLatitude"
"Hydrochoerus hydrochaeris",-47.834433,-15.769967
"Hydrochoerus hydrochaeris",-42.870236,-20.761013
"Hydrochoerus hydrochaeris",-45.436576,-23.642394
"Hydrochoerus hydrochaeris",-47.466454,-21.959722
"Hydrochoerus hydrochaeris",-34.963288,-8.065213
"Hydrochoerus hydrochaeris",-57.688642,-16.063135
"Hydrochoerus hydrochaeris",-40.591096,-19.924636
"Hydrochoerus hydrochaeris",-34.903015,-8.047425
"Hydrochoerus hydrochaeris",-46.773034,-22.894735
"Hydrochoerus hydrochaeris",-56.745095,-20.09161
"Hydrochoerus hydrochaeris",-52.36401,-24.050108
"Hydrochoerus hydrochaeris",-48.53817,-27.749775
"Hydrochoerus hydrochaeris",-67.829644,-9.943188
"Hydrochoerus hydrochaeris",-56.080258,-15.568545
"Hydrochoerus hydrochaeris",-46.489132,-23.450387
"Hydrochoerus hydrochaeris",-56.080258,-15.568545
"Hydrochoerus hydrochaeris",-55.863251,-16.345793
"Hydrochoerus hydrochaeris",-43.199075,-22.793628
"Hydrochoerus hydrochaeris",-46.855564,-23.659108
"Hydrochoerus hydrochaeris",-53.70531,-29.720504
"Hydrochoerus hydrochaeris",-52.364004,-24.048662
"Hydrochoerus hydrochaeris",-48.40263,-27.42761
"Hydrochoerus hydrochaeris",-49.138191,-28.758115
"Hydrochoerus hydrochaeris",-43.075001,-22.938649
"Hydrochoerus hydrochaeris",-52.364084,-24.048888
"Hydrochoerus hydrochaeris",-49.139604,-28.758851
"Hydrochoerus hydrochaeris",-42.226348,-14.504749
"Hydrochoerus hydrochaeris",-43.893165,-19.643439
"Hydrochoerus hydrochaeris",-47.172407,-22.333945
"Hydrochoerus hydrochaeris",-42.870236,-20.761013
"Hydrochoerus hydrochaeris",-67.867033,-9.954836
"Hydrochoerus hydrochaeris",-48.140466,-21.746744
"Hydrochoerus hydrochaeris",-47.908805,-15.837838
"Hydrochoerus hydrochaeris",-46.489046,-23.450215
"Hydrochoerus hydrochaeris",-48.467053,-27.625795
"Hydrochoerus hydrochaeris",-41.888269,-22.768209
"Hydrochoerus hydrochaeris",-42.870236,-20.761013
"Hydrochoerus hydrochaeris",-46.956911,-22.431437
"Hydrochoerus hydrochaeris",-45.382715,-23.618662
"Hydrochoerus hydrochaeris",-49.065509,-26.917395
"Hydrochoerus hydrochaeris",-41.08126,-20.512748
"Hydrochoerus hydrochaeris",-42.770932,-22.450948
"Hydrochoerus hydrochaeris",-53.714755,-29.720888
"Hydrochoerus hydrochaeris",-47.7841,-15.798075
"Hydrochoerus hydrochaeris",-47.451247,-21.957193
"Hydrochoerus hydrochaeris",-48.275041,-18.952475
"Hydrochoerus hydrochaeris",-47.240937,-22.856115
"Hydrochoerus hydrochaeris",-43.378218,-18.008732
"Hydrochoerus hydrochaeris",-47.538856,-22.399333
"Hydrochoerus hydrochaeris",-48.520436,-27.586231
"Hydrochoerus hydrochaeris",-42.773218,-22.448874
"Hydrochoerus hydrochaeris",-48.420333,-1.426127
"Hydrochoerus hydrochaeris",-47.835059,-15.819886
"Hydrochoerus hydrochaeris",-47.459913,-21.963378
"Hydrochoerus hydrochaeris",-35.306249,-6.416378
"Hydrochoerus hydrochaeris",-47.522458,-22.371386
"Hydrochoerus hydrochaeris",-52.689185,-15.719429
"Hydrochoerus hydrochaeris",-43.369617,-22.995968
"Hydrochoerus hydrochaeris",-54.12174,-31.264239
"Hydrochoerus hydrochaeris",-47.461003,-21.962722
"Hydrochoerus hydrochaeris",-46.626217,-23.641356
"Hydrochoerus hydrochaeris",-45.201834,-23.386362
"Hydrochoerus hydrochaeris",-46.900713,-23.158517
"Hydrochoerus hydrochaeris",-48.504458,-27.586387
"Hydrochoerus hydrochaeris",-47.449725,-21.965745
"Hydrochoerus hydrochaeris",-47.81192,-15.797372
"Hydrochoerus hydrochaeris",-47.451633,-21.957542
"Hydrochoerus hydrochaeris",-54.573472,-20.455195
"Hydrochoerus hydrochaeris",-48.514898,-27.591351
"Hydrochoerus hydrochaeris",-47.449564,-21.957898
"Hydrochoerus hydrochaeris",-54.574107,-20.45525
"Hydrochoerus hydrochaeris",-47.45891,-21.956273
"Hydrochoerus hydrochaeris",-54.579633,-20.454981
"Hydrochoerus hydrochaeris",-54.575325,-20.455278
"Hydrochoerus hydrochaeris",-54.577983,-20.454419
"Hydrochoerus hydrochaeris",-47.448733,-21.958003
"Hydrochoerus hydrochaeris",-40.308597,-20.278336
"Hydrochoerus hydrochaeris",-54.575791,-20.452756
"Hydrochoerus hydrochaeris",-47.451748,-21.957122
"Hydrochoerus hydrochaeris",-52.857215,-33.034634
"Hydrochoerus hydrochaeris",-40.47792,-20.273113
"Hydrochoerus hydrochaeris",-47.452988,-21.95317
"Hydrochoerus hydrochaeris",-47.450988,-21.95773
"Hydrochoerus hydrochaeris",-54.575145,-20.454597
"Hydrochoerus hydrochaeris",-47.459183,-21.955917
"Hydrochoerus hydrochaeris",-44.227831,-23.051072
"Hydrochoerus hydrochaeris",-54.578449,-20.454684
"Hydrochoerus hydrochaeris",-40.477383,-20.27267
"Hydrochoerus hydrochaeris",-47.650331,-22.715689
"Hydrochoerus hydrochaeris",-47.447813,-21.958233
"Hydrochoerus hydrochaeris",-54.577994,-20.454506
"Hydrochoerus hydrochaeris",-54.609086,-20.47265
"Hydrochoerus hydrochaeris",-43.213517,-22.528788
"Hydrochoerus hydrochaeris",-50.868305,-29.351038
"Hydrochoerus hydrochaeris",-54.568753,-20.453091
"Hydrochoerus hydrochaeris",-47.44948,-21.957912
"Hydrochoerus hydrochaeris",-54.57788,-20.45513
"Hydrochoerus hydrochaeris",-47.447712,-21.958113
"Hydrochoerus hydrochaeris",-47.44932,-21.95792
"Hydrochoerus hydrochaeris",-43.129779,-22.895968
"Hydrochoerus hydrochaeris",-47.449288,-21.957886
"Hydrochoerus hydrochaeris",-47.448768,-21.958081
"Hydrochoerus hydrochaeris",-54.577963,-20.45443
"Hydrochoerus hydrochaeris",-56.697463,-17.26827
"Hydrochoerus hydrochaeris",-56.647859,-20.045363
"Hydrochoerus hydrochaeris",-47.449589,-21.957897
"Hydrochoerus hydrochaeris",-47.043628,-22.902855
"Hydrochoerus hydrochaeris",-54.573932,-20.45423
"Hydrochoerus hydrochaeris",-46.72922,-23.552254
"Hydrochoerus hydrochaeris",-54.565154,-20.4522
"Hydrochoerus hydrochaeris",-41.025417,-21.77538
"Hydrochoerus hydrochaeris",-54.578143,-20.454468
"Hydrochoerus hydrochaeris",-47.020112,-22.904421
"Hydrochoerus hydrochaeris",-47.44873,-21.957684
"Hydrochoerus hydrochaeris",-47.448488,-21.957851
"Hydrochoerus hydrochaeris",-51.92906,-23.427335
"Hydrochoerus hydrochaeris",-48.865415,-26.378582
"Hydrochoerus hydrochaeris",-46.0139,-20.039828
"Hydrochoerus hydrochaeris",-40.261727,-19.937286
"Hydrochoerus hydrochaeris",-54.574112,-20.45451
"Hydrochoerus hydrochaeris",-47.833326,-15.770348
"Hydrochoerus hydrochaeris",-47.544884,-22.388707
"Hydrochoerus hydrochaeris",-40.257478,-19.942485
"Hydrochoerus hydrochaeris",-46.772147,-1.035356
"Hydrochoerus hydrochaeris",-47.665901,-22.344215
"Hydrochoerus hydrochaeris",-56.62517,-20.091492
"Hydrochoerus hydrochaeris",-46.617367,-23.650272
"Hydrochoerus hydrochaeris",-56.62517,-20.091492
"Hydrochoerus hydrochaeris",-54.577563,-20.453185
"Hydrochoerus hydrochaeris",-55.933572,-20.188167
"Hydrochoerus hydrochaeris",-54.577563,-20.453185
"Hydrochoerus hydrochaeris",-47.462525,-21.962088
"Hydrochoerus hydrochaeris",-52.667811,-31.392003
"Hydrochoerus hydrochaeris",-56.622958,-16.377722
"Hydrochoerus hydrochaeris",-47.459533,-21.963545
"Hydrochoerus hydrochaeris",-47.834063,-15.772628
"Hydrochoerus hydrochaeris",-47.449312,-21.957905
"Hydrochoerus hydrochaeris",-47.049385,-22.627379
"Hydrochoerus hydrochaeris",-47.45868,-21.956683
"Hydrochoerus hydrochaeris",-47.455188,-21.960097
"Hydrochoerus hydrochaeris",-47.447687,-21.959108
"Hydrochoerus hydrochaeris",-47.456638,-21.961453
"Hydrochoerus hydrochaeris",-45.452237,-22.429455
"Hydrochoerus hydrochaeris",-35.675026,-6.942217
"Hydrochoerus hydrochaeris",-47.452453,-21.958424
"Hydrochoerus hydrochaeris",-47.670714,-22.722461
"Hydrochoerus hydrochaeris",-46.599681,-23.524595
"Hydrochoerus hydrochaeris",-47.452235,-21.957313
"Hydrochoerus hydrochaeris",-47.456734,-21.961419
"Hydrochoerus hydrochaeris",-48.607285,-28.035775
"Hydrochoerus hydrochaeris",-53.729332,-29.72193
"Hydrochoerus hydrochaeris",-55.93095,-9.596695
"Hydrochoerus hydrochaeris",-48.43377,-1.454727
"Hydrochoerus hydrochaeris",-46.705381,-23.561828
"Hydrochoerus hydrochaeris",-43.366107,-23.004019
